"Date","Time","Open","High","Low","Close","Vol","OI"
01/04/2016,22:00,230.72,231.38,219.00,223.41,6827146,0
01/05/2016,22:00,226.36,226.89,220.00,223.43,3186752,0
01/06/2016,22:00,220.00,220.05,215.98,219.04,3779128,0
01/07/2016,22:00,214.19,218.44,213.67,215.65,3554251,0
01/08/2016,22:00,217.86,220.44,210.77,211.00,3628058,0
01/11/2016,22:00,214.01,214.45,203.00,207.85,4091422,0
01/12/2016,22:00,211.60,213.74,205.31,209.97,3091917,0
01/13/2016,22:00,212.01,212.65,200.00,200.31,4126416,0
01/14/2016,22:00,202.21,210.00,193.38,206.18,6490741,0
01/15/2016,22:00,198.97,205.07,197.25,204.99,5578640,0
01/19/2016,22:00,208.71,210.47,200.78,204.72,4038676,0
01/20/2016,22:00,199.40,201.28,191.25,198.70,5838608,0
01/21/2016,22:00,201.55,203.23,195.02,199.97,3166159,0
01/22/2016,22:00,204.80,205.50,199.03,202.55,3124055,0
01/25/2016,22:00,200.06,203.57,195.88,196.38,2698739,0
01/26/2016,22:00,197.01,197.82,188.88,193.56,4964180,0
01/27/2016,22:00,192.38,193.26,185.77,188.07,3617221,0
01/28/2016,22:00,190.79,191.28,182.41,189.70,4592754,0
01/29/2016,22:00,189.95,193.74,188.08,191.20,2852289,0
02/01/2016,22:00,188.76,199.52,182.75,196.94,5297639,0
02/02/2016,22:00,192.42,193.12,180.23,182.78,5773637,0
02/03/2016,22:00,183.59,183.94,170.18,173.48,7931362,0
02/04/2016,22:00,170.70,175.98,166.99,175.33,4385366,0
02/05/2016,22:00,171.30,173.00,157.74,162.60,9437591,0
02/08/2016,22:00,157.10,157.15,146.00,147.99,9312988,0
02/09/2016,22:00,142.32,159.79,141.05,148.25,8651648,0
02/10/2016,22:00,150.50,154.97,141.74,143.67,10406513,0
02/11/2016,22:00,152.00,163.26,147.00,150.47,14252364,0
02/12/2016,22:00,155.00,157.01,143.70,151.04,7235783,0
02/16/2016,22:00,158.70,162.95,154.11,155.17,5593794,0
02/17/2016,22:00,159.00,169.34,156.68,168.68,5825159,0
02/18/2016,22:00,172.42,172.95,164.77,166.77,3887574,0
02/19/2016,22:00,163.66,167.49,162.50,166.58,2959390,0
02/22/2016,22:00,170.12,178.91,169.85,177.74,5060051,0
02/23/2016,22:00,176.16,181.73,173.68,177.21,5984374,0
02/24/2016,22:00,172.75,179.50,167.84,179.00,5395609,0
02/25/2016,22:00,178.78,188.52,175.20,187.43,5750741,0
02/26/2016,22:00,188.70,192.00,185.00,190.34,6065117,0
02/29/2016,22:00,192.40,196.35,189.22,191.93,4498997,0
03/01/2016,22:00,194.25,195.95,182.70,186.35,6712159,0
03/02/2016,22:00,183.73,188.52,181.50,188.34,4862396,0
03/03/2016,22:00,188.28,197.42,184.22,195.74,4829018,0
03/04/2016,22:00,198.00,204.03,197.50,201.04,6489058,0
03/07/2016,22:00,197.68,209.70,197.40,205.29,5337072,0
03/08/2016,22:00,203.50,207.50,202.20,202.60,4178693,0
03/09/2016,22:00,204.52,209.37,202.79,208.72,3208554,0
03/10/2016,22:00,210.00,213.29,200.67,205.18,5192523,0
03/11/2016,22:00,207.44,209.42,205.33,207.50,3343077,0
03/14/2016,22:00,212.65,216.72,210.64,215.15,4065706,0
03/15/2016,22:00,214.27,218.97,211.50,218.34,3180452,0
03/16/2016,22:00,218.00,222.58,217.02,221.93,3516703,0
03/17/2016,22:00,221.47,228.50,220.00,226.38,3782891,0
03/18/2016,22:00,229.10,234.48,228.06,232.74,4711793,0
03/21/2016,22:00,235.34,239.88,235.00,238.32,5307822,0
03/22/2016,22:00,237.48,238.99,232.56,234.24,4315988,0
03/23/2016,22:00,232.37,234.73,222.03,222.58,4948841,0
03/24/2016,22:00,215.78,228.89,215.00,227.75,4960900,0
03/28/2016,22:00,231.61,234.81,225.00,230.26,3925685,0
03/29/2016,22:00,229.89,232.38,225.33,230.13,4014330,0
03/30/2016,22:00,235.09,235.50,226.50,226.89,4032982,0
03/31/2016,22:00,229.34,237.42,225.01,229.77,8012872,0
04/01/2016,22:00,244.82,247.90,233.25,237.59,15997509,0
04/04/2016,22:00,249.12,252.12,243.64,246.99,13475327,0
04/05/2016,22:00,240.50,256.56,240.00,255.47,9948699,0
04/06/2016,22:00,253.97,267.74,253.45,265.42,11705479,0
04/07/2016,22:00,266.45,269.34,254.51,257.20,8856171,0
04/08/2016,22:00,260.50,260.82,248.02,250.07,7363935,0
04/11/2016,22:00,251.00,258.99,245.30,249.92,9161693,0
04/12/2016,22:00,249.50,251.80,243.63,247.82,5763208,0
04/13/2016,22:00,248.51,255.50,247.33,254.53,4925595,0
04/14/2016,22:00,253.00,256.84,251.05,251.86,4132185,0
04/15/2016,22:00,251.31,254.60,249.12,254.51,3752366,0
04/18/2016,22:00,252.23,258.31,251.66,253.88,4271362,0
04/19/2016,22:00,253.12,254.37,241.25,247.37,6357526,0
04/20/2016,22:00,246.26,253.66,241.50,249.97,5194051,0
04/21/2016,22:00,248.99,250.90,246.91,248.29,2783059,0
04/22/2016,22:00,248.89,254.00,245.71,253.75,3786327,0
04/25/2016,22:00,253.01,257.38,250.76,251.82,3670348,0
04/26/2016,22:00,252.05,255.73,249.39,253.74,3223839,0
04/27/2016,22:00,252.75,255.00,249.40,251.47,3205808,0
04/28/2016,22:00,249.85,253.43,247.44,247.71,2518990,0
04/29/2016,22:00,248.14,248.43,237.81,240.76,5413787,0
05/02/2016,22:00,241.50,243.19,234.82,241.80,3843935,0
05/03/2016,22:00,237.36,238.91,231.62,232.32,4302222,0
05/04/2016,22:00,230.48,234.46,220.40,222.56,8700459,0
05/05/2016,22:00,228.20,228.64,209.79,211.53,11254827,0
05/06/2016,22:00,210.87,216.37,208.11,214.93,5685237,0
05/09/2016,22:00,215.72,216.15,206.80,208.92,4776383,0
05/10/2016,22:00,207.55,209.47,205.00,208.69,4070617,0
05/11/2016,22:00,207.59,215.48,206.05,208.96,5161864,0
05/12/2016,22:00,211.44,211.67,203.66,207.28,3650475,0
05/13/2016,22:00,207.78,211.20,206.70,207.61,2822781,0
05/16/2016,22:00,208.15,213.15,207.92,208.29,2949396,0
05/17/2016,22:00,209.05,209.82,204.02,204.66,2843597,0
05/18/2016,22:00,209.15,215.31,207.75,211.17,5617519,0
05/19/2016,22:00,213.62,216.79,207.30,215.21,6866321,0
05/20/2016,22:00,216.99,220.55,216.35,220.28,9007076,0
05/23/2016,22:00,219.87,222.60,215.86,216.22,5102479,0
05/24/2016,22:00,216.60,218.74,215.18,217.91,3013843,0
05/25/2016,22:00,217.91,221.36,216.51,219.58,3132615,0
05/26/2016,22:00,220.50,225.26,219.05,225.12,4072424,0
05/27/2016,22:00,224.99,225.93,220.75,223.04,3650272,0
05/31/2016,22:00,223.04,224.75,221.50,223.23,2789002,0
06/01/2016,22:00,221.48,222.40,216.89,219.56,2982695,0
06/02/2016,22:00,219.59,219.91,217.11,218.96,2032832,0
06/03/2016,22:00,220.00,221.94,218.01,218.99,2228970,0
06/06/2016,22:00,218.00,220.90,215.45,220.68,2249508,0
06/07/2016,22:00,222.24,234.44,221.52,232.34,6213573,0
06/08/2016,22:00,233.80,240.85,232.60,235.52,5971995,0
06/09/2016,22:00,234.69,235.33,227.06,229.36,4492075,0
06/10/2016,22:00,227.39,227.97,218.42,218.79,6026603,0
06/13/2016,22:00,219.50,225.77,217.66,217.87,4193022,0
06/14/2016,22:00,218.88,222.20,212.53,214.96,3580167,0
06/15/2016,22:00,216.95,221.90,215.13,217.70,2908522,0
06/16/2016,22:00,217.42,218.04,213.50,217.93,2440259,0
06/17/2016,22:00,217.81,219.99,214.50,215.47,3112620,0
06/20/2016,22:00,219.50,223.75,218.23,219.70,3555471,0
06/21/2016,22:00,220.68,222.57,218.81,219.61,4529005,0
06/22/2016,22:00,199.47,205.95,195.75,196.66,23742414,0
06/23/2016,22:00,195.69,197.55,192.13,196.40,10130748,0
06/24/2016,22:00,190.05,195.12,189.73,193.15,7026516,0
06/27/2016,22:00,190.86,198.81,187.87,198.55,7220323,0
06/28/2016,22:00,201.89,204.05,199.41,201.79,6212422,0
06/29/2016,22:00,205.13,211.78,203.00,210.19,5994908,0
06/30/2016,22:00,212.97,213.50,209.02,212.28,4843111,0
07/01/2016,22:00,206.14,218.24,206.00,216.50,5399951,0
07/05/2016,22:00,209.73,214.54,208.00,213.98,5175345,0
07/06/2016,22:00,210.00,215.23,209.00,214.44,4919855,0
07/07/2016,22:00,213.10,218.12,213.01,215.94,3612022,0
07/08/2016,22:00,217.80,219.81,214.50,216.78,4074785,0
07/11/2016,22:00,219.96,226.78,219.51,224.78,5429823,0
07/12/2016,22:00,224.10,227.50,223.22,224.65,4576165,0
07/13/2016,22:00,225.50,225.59,220.29,222.53,3567062,0
07/14/2016,22:00,223.12,224.94,221.05,221.53,2675834,0
07/15/2016,22:00,222.52,222.75,219.64,220.40,2234247,0
07/18/2016,22:00,219.64,227.09,218.30,226.25,3412055,0
07/19/2016,22:00,225.00,229.10,224.75,225.26,3115065,0
07/20/2016,22:00,226.47,229.80,225.00,228.36,2568498,0
07/21/2016,22:00,226.00,227.85,219.10,220.50,4428651,0
07/22/2016,22:00,221.99,224.50,218.88,222.27,2579692,0
07/25/2016,22:00,222.27,231.39,221.37,230.01,4490683,0
07/26/2016,22:00,227.69,230.00,225.30,229.51,3430042,0
07/27/2016,22:00,229.34,233.36,226.92,228.49,2889007,0
07/28/2016,22:00,227.95,230.76,226.60,230.61,2419059,0
07/29/2016,22:00,230.70,235.28,230.24,234.79,3070813,0
08/01/2016,22:00,235.50,236.63,229.38,230.01,4016284,0
08/02/2016,22:00,229.50,229.87,221.40,227.20,3934432,0
08/03/2016,22:00,227.20,229.70,224.21,225.79,3887759,0
08/04/2016,22:00,225.69,230.86,222.05,230.61,4146997,0
08/05/2016,22:00,230.00,232.00,227.40,230.03,3205215,0
08/08/2016,22:00,228.00,229.60,226.09,226.16,2263584,0
08/09/2016,22:00,226.82,231.54,226.65,229.08,2207833,0
08/10/2016,22:00,228.24,229.87,224.62,225.65,2338301,0
08/11/2016,22:00,226.17,227.57,223.41,224.91,1880936,0
08/12/2016,22:00,225.41,226.65,224.04,225.61,1813540,0
08/15/2016,22:00,226.02,229.50,224.93,225.59,2034328,0
08/16/2016,22:00,225.49,227.19,223.41,223.61,2267147,0
08/17/2016,22:00,224.33,224.83,222.80,223.24,1787127,0
08/18/2016,22:00,223.82,225.66,222.29,223.51,1714467,0
08/19/2016,22:00,223.54,225.17,222.53,225.00,1659530,0
08/22/2016,22:00,224.17,225.11,222.68,222.93,2065493,0
08/23/2016,22:00,224.32,228.49,222.80,224.84,4784418,0
08/24/2016,22:00,227.05,227.15,222.22,222.62,2570693,0
08/25/2016,22:00,223.11,223.80,220.77,220.96,1762519,0
08/26/2016,22:00,222.14,222.85,218.82,219.99,2238992,0
08/29/2016,22:00,220.15,220.40,215.00,215.20,3266334,0
08/30/2016,22:00,216.11,216.11,210.52,211.34,3168862,0
08/31/2016,22:00,210.43,212.60,208.65,212.01,3276548,0
09/01/2016,22:00,211.03,211.10,200.50,200.77,7943138,0
09/02/2016,22:00,202.75,203.20,196.20,197.78,5977413,0
09/06/2016,22:00,199.02,203.25,199.00,202.83,4390572,0
09/07/2016,22:00,205.50,206.50,200.71,201.71,3640923,0
09/08/2016,22:00,199.55,199.89,196.36,197.36,3377946,0
09/09/2016,22:00,199.09,199.92,193.70,194.47,3756992,0
09/12/2016,22:00,195.38,201.37,194.10,198.30,3715161,0
09/13/2016,22:00,198.15,198.49,193.45,196.05,3589379,0
09/14/2016,22:00,195.75,197.92,194.86,196.41,2259231,0
09/15/2016,22:00,196.49,202.52,196.40,200.42,3085115,0
09/16/2016,22:00,200.42,205.70,199.00,205.40,3107808,0
09/19/2016,22:00,207.00,209.43,205.00,206.34,2299498,0
09/20/2016,22:00,206.85,207.75,203.91,204.64,2410488,0
09/21/2016,22:00,206.37,207.00,201.56,205.22,2633503,0
09/22/2016,22:00,206.40,207.28,203.00,206.43,2382902,0
09/23/2016,22:00,205.99,210.18,205.67,207.45,2905229,0
09/26/2016,22:00,206.50,211.00,206.50,208.99,2394358,0
09/27/2016,22:00,209.65,209.98,204.61,205.81,3373180,0
09/28/2016,22:00,207.51,208.25,205.26,206.27,2088374,0
09/29/2016,22:00,205.60,207.33,200.58,200.70,2727029,0
09/30/2016,22:00,202.21,204.98,199.55,204.03,2586273,0
10/03/2016,22:00,210.98,215.67,208.25,213.70,5999892,0
10/04/2016,22:00,213.10,213.32,208.82,211.41,3541481,0
10/05/2016,22:00,212.24,213.15,208.12,208.46,1877534,0
10/06/2016,22:00,202.46,204.21,200.21,201.00,4703402,0
10/07/2016,22:00,201.00,201.32,195.80,196.61,3493018,0
10/10/2016,22:00,201.35,204.14,199.66,200.95,3316297,0
10/11/2016,22:00,201.85,202.20,198.31,200.10,2328422,0
10/12/2016,22:00,200.95,203.88,200.42,201.51,1970689,0
10/13/2016,22:00,200.50,200.90,197.05,200.24,2495413,0
10/14/2016,22:00,200.66,201.43,196.30,196.51,4269850,0
10/17/2016,22:00,197.67,198.39,192.00,193.96,4554080,0
10/18/2016,22:00,195.99,199.47,193.26,199.10,5680475,0
10/19/2016,22:00,199.11,206.66,198.06,203.56,6991183,0
10/20/2016,22:00,202.12,203.00,197.05,199.10,5072877,0
10/21/2016,22:00,198.60,201.57,197.41,200.09,2943402,0
10/24/2016,22:00,201.00,203.95,200.25,202.76,2751562,0
10/25/2016,22:00,202.90,204.69,201.20,202.34,2445014,0
10/26/2016,22:00,201.00,203.19,200.10,202.24,5632841,0
10/27/2016,22:00,211.34,213.70,201.65,204.01,13093744,0
10/28/2016,22:00,204.00,205.32,199.83,199.97,4280141,0
10/31/2016,22:00,202.29,202.49,195.81,197.73,4692273,0
11/01/2016,22:00,198.04,198.50,188.10,190.79,7060036,0
11/02/2016,22:00,189.60,192.70,187.51,188.02,4253382,0
11/03/2016,22:00,189.00,191.47,187.04,187.42,2653023,0
11/04/2016,22:00,188.00,193.46,185.96,190.56,5146043,0
11/07/2016,22:00,193.59,194.29,190.05,193.21,3870112,0
11/08/2016,22:00,193.79,197.49,191.26,194.94,3267580,0
11/09/2016,22:00,186.88,192.00,183.95,190.06,8173065,0
11/10/2016,22:00,191.05,191.61,180.42,185.35,6750341,0
11/11/2016,22:00,184.24,188.88,183.00,188.56,3988504,0
11/14/2016,22:00,188.00,188.25,178.19,181.45,6552205,0
11/15/2016,22:00,182.78,186.43,182.05,183.77,3902018,0
11/16/2016,22:00,182.65,184.73,181.21,183.93,3434437,0
11/17/2016,22:00,183.49,189.49,182.11,188.66,4887067,0
11/18/2016,22:00,190.65,193.00,185.00,185.02,5210347,0
11/21/2016,22:00,185.04,188.89,184.41,184.52,4361043,0
11/22/2016,22:00,185.84,191.47,183.71,191.17,5603361,0
11/23/2016,22:00,190.61,195.64,189.00,193.14,4891893,0
11/25/2016,22:00,194.39,197.24,193.64,196.65,2366098,0
11/28/2016,22:00,195.48,199.35,194.55,196.12,4529182,0
11/29/2016,22:00,195.56,196.73,189.50,189.57,4439256,0
11/30/2016,22:00,191.00,191.89,187.50,189.40,3547104,0
12/01/2016,22:00,188.50,188.53,181.00,181.88,5126401,0
12/02/2016,22:00,182.88,184.88,180.00,181.47,4042324,0
12/05/2016,22:00,182.51,188.89,182.51,186.80,4072239,0
12/06/2016,22:00,186.50,186.58,182.68,185.85,3391622,0
12/07/2016,22:00,186.15,193.40,185.00,193.15,5461851,0
12/08/2016,22:00,192.05,192.50,189.54,192.29,3194148,0
12/09/2016,22:00,190.87,193.84,190.81,192.18,2722505,0
12/12/2016,22:00,192.80,194.42,191.04,192.43,2438876,0
12/13/2016,22:00,193.18,201.28,193.00,198.15,6823884,0
12/14/2016,22:00,198.74,203.00,196.76,198.69,4150927,0
12/15/2016,22:00,198.41,200.74,197.39,197.58,3219567,0
12/16/2016,22:00,198.08,202.59,197.60,202.49,3796889,0
12/19/2016,22:00,202.49,204.45,199.84,202.73,3488071,0
12/20/2016,22:00,203.05,209.00,202.50,208.79,4689071,0
12/21/2016,22:00,208.45,212.23,207.41,207.70,5207622,0
12/22/2016,22:00,208.22,209.99,206.50,208.45,3111108,0
12/23/2016,22:00,208.00,213.45,207.71,213.34,4670464,0
12/27/2016,22:00,214.88,222.25,214.42,219.53,5915732,0
12/28/2016,22:00,221.53,223.80,217.20,219.74,3782456,0
12/29/2016,22:00,218.56,219.20,214.12,214.68,4044968,0
12/30/2016,22:00,216.30,217.50,211.68,213.69,4642620,0
