"Date","Time","Open","High","Low","Close","Vol","OI"
01/02/2008,23:00,6.60,6.64,6.38,6.47,33242262,0
01/03/2008,23:00,6.53,6.53,6.28,6.32,47189431,0
01/04/2008,23:00,6.25,6.25,5.87,6.00,57780967,0
01/07/2008,23:00,6.08,6.17,5.97,6.03,47008662,0
01/08/2008,23:00,6.12,6.22,5.96,5.97,47965310,0
01/09/2008,23:00,5.98,6.01,5.63,5.94,77766593,0
01/10/2008,23:00,5.87,6.17,5.71,6.12,61643765,0
01/11/2008,23:00,6.05,6.11,5.92,5.93,33524823,0
01/14/2008,23:00,5.99,6.08,5.96,6.05,29715609,0
01/15/2008,23:00,5.99,5.99,5.78,5.84,42688177,0
01/16/2008,23:00,5.89,5.89,5.68,5.73,64550514,0
01/17/2008,23:00,5.79,5.79,5.55,5.63,77886999,0
01/18/2008,23:00,5.68,5.87,5.67,5.79,58902325,0
01/22/2008,23:00,5.40,5.90,5.37,5.80,78467886,0
01/23/2008,23:00,5.70,6.18,5.61,6.17,74051723,0
01/24/2008,23:00,6.27,6.27,5.98,6.13,65544536,0
01/25/2008,23:00,6.18,6.57,6.18,6.45,87012226,0
01/28/2008,23:00,6.37,6.65,6.28,6.54,46710820,0
01/29/2008,23:00,6.67,6.67,6.43,6.56,41278624,0
01/30/2008,23:00,6.54,6.81,6.50,6.62,37155961,0
01/31/2008,23:00,6.55,6.62,6.45,6.51,48116717,0
02/01/2008,23:00,6.56,6.77,6.47,6.72,37890833,0
02/04/2008,23:00,6.72,6.80,6.52,6.55,36827568,0
02/05/2008,23:00,6.47,6.49,6.22,6.30,36160559,0
02/06/2008,23:00,6.23,6.29,6.12,6.18,39376434,0
02/07/2008,23:00,6.13,6.17,5.94,6.04,56869549,0
02/08/2008,23:00,6.01,6.05,5.88,5.95,32823716,0
02/11/2008,23:00,5.98,6.38,5.91,6.26,53753145,0
02/12/2008,23:00,6.23,6.60,6.21,6.33,59233695,0
02/13/2008,23:00,6.39,6.49,6.35,6.45,28887722,0
02/14/2008,23:00,6.43,6.46,6.30,6.33,24909480,0
02/15/2008,23:00,6.31,6.34,6.23,6.32,22711346,0
02/19/2008,23:00,6.37,6.45,6.29,6.35,29048345,0
02/20/2008,23:00,6.30,6.32,6.22,6.28,24628869,0
02/21/2008,23:00,6.29,6.31,6.00,6.10,56463224,0
02/22/2008,23:00,6.11,6.13,5.91,6.12,31301090,0
02/25/2008,23:00,6.13,6.38,6.03,6.33,32975431,0
02/26/2008,23:00,6.31,6.42,6.20,6.39,31167559,0
02/27/2008,23:00,6.36,6.47,6.27,6.47,39086784,0
02/28/2008,23:00,6.40,6.55,6.39,6.49,42081428,0
02/29/2008,23:00,6.44,6.49,6.36,6.40,47435470,0
03/03/2008,23:00,6.29,6.29,5.99,6.05,44366767,0
03/04/2008,23:00,5.97,6.06,5.89,6.00,38995630,0
03/05/2008,23:00,6.04,6.10,5.91,5.99,37409812,0
03/06/2008,23:00,5.95,5.98,5.78,5.81,34552623,0
03/07/2008,23:00,5.75,5.89,5.59,5.65,43806037,0
03/10/2008,23:00,5.72,5.87,5.45,5.47,48632432,0
03/11/2008,23:00,5.61,5.80,5.43,5.77,78411493,0
03/12/2008,23:00,5.76,5.78,5.53,5.57,60203776,0
03/13/2008,23:00,5.51,5.51,4.99,5.26,125541038,0
03/14/2008,23:00,5.32,5.36,5.12,5.16,80510668,0
03/17/2008,23:00,4.89,5.13,4.82,4.98,69822906,0
03/18/2008,23:00,5.19,5.29,4.90,5.16,76806958,0
03/19/2008,23:00,5.23,5.41,5.14,5.32,71484405,0
03/20/2008,23:00,5.38,5.60,5.16,5.49,175819203,0
03/24/2008,23:00,5.56,5.89,5.55,5.83,55208472,0
03/25/2008,23:00,5.90,5.97,5.73,5.87,56611752,0
03/26/2008,23:00,5.96,5.96,5.70,5.74,57327441,0
03/27/2008,23:00,5.80,5.83,5.62,5.70,61719831,0
03/28/2008,23:00,5.76,5.77,5.45,5.46,39701877,0
03/31/2008,23:00,5.47,5.63,5.47,5.59,42294562,0
04/01/2008,23:00,5.64,5.85,5.64,5.84,55328511,0
04/02/2008,23:00,5.82,6.20,5.80,6.00,65244464,0
04/03/2008,23:00,5.94,6.33,5.92,6.33,67736989,0
04/04/2008,23:00,6.30,6.39,6.07,6.36,66864248,0
04/07/2008,23:00,6.62,6.74,6.47,6.60,70089597,0
04/08/2008,23:00,6.56,6.89,6.54,6.78,111113778,0
04/09/2008,23:00,6.81,6.87,6.52,6.59,55199605,0
04/10/2008,23:00,6.59,6.69,6.47,6.61,47469248,0
04/11/2008,23:00,6.46,6.65,6.44,6.56,46406941,0
04/14/2008,23:00,6.56,6.70,6.56,6.65,39536101,0
04/15/2008,23:00,6.70,6.78,6.54,6.75,44834194,0
04/16/2008,23:00,6.82,7.08,6.79,7.06,63454381,0
04/17/2008,23:00,7.01,7.18,6.95,7.13,64820107,0
04/18/2008,23:00,7.19,7.37,7.18,7.32,95216477,0
04/21/2008,23:00,7.37,7.64,7.33,7.60,75387171,0
04/22/2008,23:00,7.57,7.73,7.39,7.52,63320487,0
04/23/2008,23:00,7.63,7.70,7.23,7.39,83817318,0
04/24/2008,23:00,7.89,8.66,7.68,8.27,241782980,0
04/25/2008,23:00,8.07,8.10,7.36,7.37,227269752,0
04/28/2008,23:00,8.02,8.29,7.97,8.08,170511544,0
04/29/2008,23:00,8.09,8.25,7.95,7.99,63074784,0
04/30/2008,23:00,8.08,8.29,8.04,8.13,66520551,0
05/01/2008,23:00,8.15,8.41,8.09,8.35,63141503,0
05/02/2008,23:00,8.42,8.55,8.02,8.14,75412130,0
05/05/2008,23:00,8.14,8.25,8.03,8.20,38431033,0
05/06/2008,23:00,8.14,8.17,8.06,8.14,37920939,0
05/07/2008,23:00,8.15,8.18,7.78,7.83,58838347,0
05/08/2008,23:00,7.92,8.09,7.77,8.07,48454669,0
05/09/2008,23:00,8.07,8.20,7.92,7.97,41043898,0
05/12/2008,23:00,8.04,8.09,7.99,8.02,28658016,0
05/13/2008,23:00,8.03,8.16,8.02,8.10,38193196,0
05/14/2008,23:00,8.12,8.24,7.98,8.01,36193846,0
05/15/2008,23:00,8.05,8.11,7.97,8.04,42721427,0
05/16/2008,23:00,8.08,8.12,7.90,7.98,41263259,0
05/19/2008,23:00,7.99,8.05,7.87,7.89,36048434,0
