"Date","Time","Open","High","Low","Close","Vol","OI"
01/02/2013,22:00,359.71,363.50,358.27,361.63,5084536,0
01/03/2013,22:00,362.46,365.96,360.36,361.83,4636280,0
01/04/2013,22:00,364.67,370.73,363.84,368.98,5527104,0
01/07/2013,22:00,367.73,369.69,365.29,367.38,3311934,0
01/08/2013,22:00,367.77,368.15,362.21,366.65,3353480,0
01/09/2013,22:00,366.14,369.17,364.30,369.06,4051502,0
01/10/2013,22:00,371.42,372.50,366.75,370.74,3671560,0
01/11/2013,22:00,371.00,371.21,368.15,369.99,2570250,0
01/14/2013,22:00,368.50,371.10,361.17,361.63,5728212,0
01/15/2013,22:00,359.67,367.50,356.05,362.46,7855980,0
01/16/2013,22:00,361.20,362.17,356.83,357.60,4049982,0
01/17/2013,22:00,358.86,359.82,355.51,355.66,4424714,0
01/18/2013,22:00,355.18,356.39,350.67,352.26,6453796,0
01/22/2013,22:00,352.33,352.67,347.76,351.43,7584672,0
01/23/2013,22:00,367.99,374.50,367.89,370.75,11823730,0
01/24/2013,22:00,370.62,378.41,370.25,376.92,6767192,0
01/25/2013,22:00,375.39,379.24,375.13,376.83,4451622,0
01/28/2013,22:00,375.88,377.80,373.95,375.36,3255666,0
01/29/2013,22:00,373.38,378.48,373.27,376.84,3495468,0
01/30/2013,22:00,376.87,380.48,376.45,376.92,3465944,0
01/31/2013,22:00,375.26,378.81,375.13,377.85,3269112,0
02/01/2013,22:00,379.10,388.30,379.05,387.80,7492330,0
02/04/2013,22:00,383.85,385.24,379.14,379.51,6082484,0
02/05/2013,22:00,380.57,385.55,379.73,382.87,3741432,0
02/06/2013,22:00,379.54,386.48,379.25,385.08,4159374,0
02/07/2013,22:00,384.85,389.40,382.75,386.98,5681012,0
02/08/2013,22:00,390.07,393.33,389.78,392.68,6049706,0
02/11/2013,22:00,389.20,391.50,386.88,391.21,4335312,0
02/12/2013,22:00,390.88,393.95,389.68,390.35,3717890,0
02/13/2013,22:00,390.07,392.67,389.98,391.43,2396340,0
02/14/2013,22:00,389.86,394.37,388.89,393.91,3470438,0
02/15/2013,22:00,393.70,396.63,393.54,396.45,5459834,0
02/19/2013,22:00,397.99,403.50,397.64,403.42,5865848,0
02/20/2013,22:00,402.65,404.48,395.90,396.23,5530058,0
02/21/2013,22:00,399.00,402.73,395.61,397.77,7022072,0
02/22/2013,22:00,399.63,400.63,396.90,399.86,4108100,0
02/25/2013,22:00,401.15,404.20,395.24,395.39,4614016,0
02/26/2013,22:00,397.50,397.97,392.20,395.07,4410118,0
02/27/2013,22:00,397.40,402.38,395.55,399.89,4057030,0
02/28/2013,22:00,400.55,403.49,400.52,400.60,4531748,0
03/01/2013,22:00,398.90,403.57,398.08,403.10,4350850,0
03/04/2013,22:00,402.65,411.42,402.50,410.75,5552370,0
03/05/2013,22:00,414.46,420.08,414.45,419.30,8090068,0
03/06/2013,22:00,420.51,422.00,414.40,415.69,5747996,0
03/07/2013,22:00,417.03,418.31,414.79,416.30,4108476,0
03/08/2013,22:00,417.25,417.46,412.52,415.76,5824566,0
03/11/2013,22:00,415.85,419.85,415.75,417.41,3191356,0
03/12/2013,22:00,415.36,415.95,411.83,413.80,4017958,0
03/13/2013,22:00,413.95,415.35,411.15,412.65,3282826,0
03/14/2013,22:00,413.49,413.49,408.70,410.77,3302222,0
03/15/2013,22:00,409.25,410.15,406.67,407.15,6199582,0
03/18/2013,22:00,402.50,406.38,400.73,403.89,3677104,0
03/19/2013,22:00,405.62,409.63,403.23,405.66,4196352,0
