"Date","Time","Open","High","Low","Close","Vol","OI"
01/02/2008,22:00,346.43,348.68,338.87,342.60,8613696,0
01/03/2008,22:00,342.63,343.42,338.26,342.67,6505992,0
01/04/2008,22:00,339.85,340.48,327.50,328.50,10721818,0
01/07/2008,22:00,326.97,331.14,318.67,324.63,12809890,0
01/08/2008,22:00,326.50,329.98,315.50,315.84,10684098,0
01/09/2008,22:00,315.37,326.67,311.26,326.60,13492348,0
01/10/2008,22:00,322.51,328.60,320.05,323.36,12669306,0
01/11/2008,22:00,321.35,324.73,315.05,319.13,9955682,0
01/14/2008,22:00,325.57,328.70,322.63,326.91,8897738,0
01/15/2008,22:00,322.95,324.52,317.69,318.83,11169946,0
01/16/2008,22:00,314.48,319.99,300.96,307.98,21125190,0
01/17/2008,22:00,310.38,312.87,299.01,300.39,16433746,0
01/18/2008,22:00,304.18,304.99,299.23,300.13,17084134,0
01/22/2008,22:00,281.02,298.75,280.60,292.17,19004986,0
01/23/2008,22:00,280.36,284.00,259.50,274.31,33943904,0
01/24/2008,22:00,279.40,289.85,277.07,287.24,18818664,0
01/25/2008,22:00,295.90,297.50,283.09,283.20,13931860,0
01/28/2008,22:00,285.48,286.12,274.30,277.99,11633240,0
01/29/2008,22:00,280.23,280.67,270.33,275.26,12569134,0
01/30/2008,22:00,274.60,280.21,271.76,274.14,15899028,0
01/31/2008,22:00,269.51,286.50,267.15,282.15,29753272,0
02/01/2008,22:00,264.33,268.33,255.00,257.95,35205082,0
02/04/2008,22:00,254.54,256.39,246.27,247.71,26321222,0
02/05/2008,22:00,244.71,254.50,244.26,253.40,22420266,0
02/06/2008,22:00,255.57,255.59,248.96,250.85,15281864,0
02/07/2008,22:00,248.43,257.10,247.38,252.48,15860384,0
02/08/2008,22:00,254.71,258.86,254.35,258.35,13664842,0
02/11/2008,22:00,260.26,261.86,256.70,260.58,11654272,0
02/12/2008,22:00,261.70,265.30,256.52,259.05,13326048,0
02/13/2008,22:00,261.25,267.49,259.35,267.31,13265762,0
02/14/2008,22:00,269.17,270.52,265.50,266.13,12960506,0
02/15/2008,22:00,264.15,266.33,262.17,264.82,10488228,0
02/19/2008,22:00,267.47,267.53,253.25,254.48,12704698,0
