"Date","Time","Open","High","Low","Close","Vol","OI"
01/02/2013,22:00,26.20,26.24,25.70,25.92,7513134,0
01/03/2013,22:00,25.98,26.30,25.89,26.18,7233816,0
01/04/2013,22:00,26.25,26.52,26.24,26.44,6793958,0
01/07/2013,22:00,26.40,26.54,26.26,26.48,6489308,0
01/08/2013,22:00,26.36,26.47,26.09,26.20,6714144,0
01/09/2013,22:00,26.28,26.37,26.16,26.23,5530274,0
01/10/2013,22:00,26.32,26.44,26.08,26.27,7705780,0
01/11/2013,22:00,26.31,26.71,26.16,26.55,9790892,0
01/14/2013,22:00,26.59,26.74,26.50,26.59,5604176,0
01/15/2013,22:00,26.52,26.88,26.44,26.82,6507486,0
01/16/2013,22:00,26.74,27.00,26.62,26.86,5300056,0
01/17/2013,22:00,26.90,26.99,26.66,26.74,4864848,0
01/18/2013,22:00,26.74,26.78,26.49,26.65,6146872,0
01/22/2013,22:00,26.71,26.75,26.52,26.74,6207542,0
01/23/2013,22:00,26.57,26.68,26.41,26.55,6779136,0
01/24/2013,22:00,26.60,26.94,26.58,26.93,6820332,0
01/25/2013,22:00,27.06,27.78,27.00,27.77,12543648,0
01/28/2013,22:00,27.70,27.76,27.16,27.25,8038160,0
01/29/2013,22:00,27.19,27.23,26.94,26.96,7214784,0
01/30/2013,22:00,26.98,27.08,26.78,26.81,6343300,0
01/31/2013,22:00,26.81,27.14,26.72,27.02,9146144,0
02/01/2013,22:00,27.23,27.36,26.80,26.85,6774510,0
02/04/2013,22:00,26.80,27.13,26.75,26.83,5075738,0
02/05/2013,22:00,26.97,27.16,26.93,26.94,4527202,0
02/06/2013,22:00,26.84,27.18,26.75,27.08,5296912,0
02/07/2013,22:00,27.11,27.36,27.03,27.34,5572950,0
02/08/2013,22:00,27.32,27.59,27.24,27.30,5100734,0
02/11/2013,22:00,27.64,27.95,27.36,27.61,8916590,0
02/12/2013,22:00,27.45,27.60,27.40,27.55,3866508,0
02/13/2013,22:00,27.51,27.68,27.20,27.28,6054126,0
02/14/2013,22:00,27.28,27.50,27.16,27.31,6164026,0
02/15/2013,22:00,27.34,27.57,27.26,27.48,7060126,0
02/19/2013,22:00,27.47,27.58,27.15,27.24,8513314,0
02/20/2013,22:00,27.20,27.33,27.00,27.01,7587334,0
02/21/2013,22:00,27.42,27.52,27.06,27.27,9359152,0
02/22/2013,22:00,27.33,27.44,27.00,27.24,5854828,0
02/25/2013,22:00,27.27,27.50,27.02,27.02,8567972,0
02/26/2013,22:00,27.16,27.37,26.97,27.14,6085136,0
02/27/2013,22:00,27.13,27.26,26.98,27.17,6269382,0
02/28/2013,22:00,27.13,27.36,27.00,27.23,6713490,0
