"Date","Time","Open","High","Low","Close","Vol","OI"
02/21/2008,23:00,626.4053,626.4053,626.4053,626.4053,300,0
05/15/2009,23:00,440.9174,440.9174,440.9174,440.9174,3410,0
10/01/2009,23:00,684.7758,684.7758,684.7758,684.7758,20,0
12/04/2009,23:00,655.8000,655.8000,655.8000,655.8000,1,0
10/11/2010,23:00,660.0000,660.0000,660.0000,660.0000,50,0
10/13/2010,23:00,660.0000,660.0000,660.0000,660.0000,50,0
01/06/2011,23:00,830.0000,830.0000,830.0000,830.0000,12,0
01/27/2011,23:00,448.0000,448.0000,448.0000,448.0000,60,0
04/18/2011,23:00,800.0000,800.0000,800.0000,800.0000,5,0
11/21/2011,23:00,835.0000,835.0000,835.0000,835.0000,10,0
01/18/2012,23:00,907.0000,907.0000,907.0000,907.0000,3,0
02/06/2012,23:00,965.0000,965.0000,965.0000,965.0000,55,0
04/05/2012,23:00,1210.0000,1210.0000,1210.0000,1210.0000,32,0
05/01/2012,23:00,1250.0000,1250.0000,1250.0000,1250.0000,7,0
05/17/2012,23:00,1046.2288,1046.2288,1046.2288,1046.2288,1047,0
05/18/2012,23:00,1003.0244,1003.0244,1003.0244,1003.0244,230,0
06/04/2012,23:00,1000.0000,1000.0000,1000.0000,1000.0000,2,0
08/06/2012,23:00,1200.0000,1200.0000,1200.0000,1200.0000,104,0
08/07/2012,23:00,1148.4280,1148.4280,1148.4280,1148.4280,3338,0
08/13/2012,23:00,1210.0000,1210.0000,1210.0000,1210.0000,5,0
10/03/2012,23:00,1250.0000,1250.0000,1250.0000,1250.0000,7,0
11/19/2012,23:00,1250.0000,1250.0000,1250.0000,1250.0000,19,0
12/03/2012,23:00,1350.0000,1350.0000,1350.0000,1350.0000,79,0
12/11/2012,23:00,1350.0000,1350.0000,1350.0000,1350.0000,525,0
01/17/2013,23:00,1475.0000,1475.0000,1475.0000,1475.0000,21,0
01/18/2013,23:00,1410.0000,1410.0000,1410.0000,1410.0000,123,0
01/22/2013,23:00,1350.0000,1350.0000,1350.0000,1350.0000,4,0
01/29/2013,23:00,1360.0000,1375.0000,1360.0000,1375.0000,110,0
02/05/2013,23:00,1400.0000,1400.0000,1400.0000,1400.0000,39,0
02/13/2013,23:00,1425.0000,1425.0000,1425.0000,1425.0000,252,0
02/19/2013,23:00,1450.0000,1450.0000,1450.0000,1450.0000,4,0
02/21/2013,23:00,1475.0000,1475.0000,1475.0000,1475.0000,37,0
02/22/2013,23:00,1500.0000,1500.0000,1500.0000,1500.0000,30,0
03/13/2013,23:00,1450.0000,1450.0000,1450.0000,1450.0000,131,0
03/18/2013,23:00,1350.0000,1350.0000,1350.0000,1350.0000,95,0
03/21/2013,23:00,1350.0000,1350.0000,1350.0000,1350.0000,37,0
03/26/2013,23:00,1415.0000,1415.0000,1415.0000,1415.0000,8,0
04/03/2013,23:00,1425.0000,1425.0000,1425.0000,1425.0000,6,0
04/05/2013,23:00,1385.0000,1385.0000,1385.0000,1385.0000,29,0
04/10/2013,23:00,1375.0000,1375.0000,1375.0000,1375.0000,4,0
04/22/2013,23:00,1300.0000,1300.0000,1300.0000,1300.0000,7,0
04/30/2013,23:00,1410.0000,1410.0000,1410.0000,1410.0000,24,0
05/01/2013,23:00,1350.0000,1350.0000,1350.0000,1350.0000,1,0
05/07/2013,23:00,1425.0000,1425.0000,1410.0000,1410.0000,137,0
05/13/2013,23:00,1335.0000,1335.0000,1335.0000,1335.0000,21,0
05/23/2013,23:00,1300.0000,1300.0000,1300.0000,1300.0000,5,0
06/03/2013,23:00,1405.0000,1405.0000,1405.0000,1405.0000,15,0
06/05/2013,23:00,1400.0000,1400.0000,1400.0000,1400.0000,134,0
06/26/2013,23:00,1050.0000,1050.0000,1050.0000,1050.0000,603,0
06/28/2013,23:00,1140.0000,1140.0000,1140.0000,1140.0000,160,0
