"Date","Time","Open","High","Low","Close","Vol","OI"
01/04/2016,22:00,102.61,105.37,102.00,105.35,67649387,0
01/05/2016,22:00,105.75,105.85,102.41,102.71,55790992,0
01/06/2016,22:00,100.56,102.37,99.87,100.70,68457388,0
01/07/2016,22:00,98.68,100.13,96.43,96.45,81094428,0
01/08/2016,22:00,98.55,99.11,96.76,96.96,70798016,0
01/11/2016,22:00,98.97,99.06,97.34,98.53,49739377,0
01/12/2016,22:00,100.55,100.69,98.84,99.96,49154227,0
01/13/2016,22:00,100.32,101.19,97.30,97.39,62439631,0
01/14/2016,22:00,97.96,100.48,95.74,99.52,63170127,0
01/15/2016,22:00,96.20,97.71,95.36,97.13,79833891,0
01/19/2016,22:00,98.41,98.65,95.50,96.66,53087747,0
01/20/2016,22:00,95.10,98.19,93.42,96.79,72334416,0
01/21/2016,22:00,97.06,97.88,94.94,96.30,52161463,0
01/22/2016,22:00,98.57,101.46,98.37,101.42,65800467,0
01/25/2016,22:00,101.52,101.53,99.21,99.44,51794525,0
01/26/2016,22:00,99.93,100.88,98.07,99.99,75077002,0
01/27/2016,22:00,96.04,96.63,93.34,93.42,133369674,0
01/28/2016,22:00,93.79,94.52,92.39,94.09,55678825,0
01/29/2016,22:00,94.79,97.34,94.35,97.34,64416504,0
02/01/2016,22:00,96.47,96.71,95.40,96.43,40943541,0
02/02/2016,22:00,95.42,96.04,94.28,94.48,37357215,0
02/03/2016,22:00,95.00,96.84,94.08,96.35,45964294,0
02/04/2016,22:00,95.86,97.33,95.19,96.60,46471652,0
02/05/2016,22:00,96.52,96.92,93.69,94.02,46418064,0
02/08/2016,22:00,93.13,95.70,93.04,95.01,54021375,0
02/09/2016,22:00,94.29,95.94,93.93,94.99,44331195,0
02/10/2016,22:00,95.92,96.35,94.10,94.27,42343601,0
02/11/2016,22:00,93.79,94.72,92.59,93.70,50074711,0
02/12/2016,22:00,94.19,94.50,93.01,93.99,40351381,0
02/16/2016,22:00,95.02,96.85,94.61,96.64,49057916,0
02/17/2016,22:00,96.67,98.21,96.15,98.12,44863243,0
02/18/2016,22:00,98.84,98.89,96.09,96.26,39020983,0
02/19/2016,22:00,96.00,96.76,95.80,96.04,35374173,0
02/22/2016,22:00,96.31,96.90,95.92,96.88,34280758,0
02/23/2016,22:00,96.40,96.50,94.55,94.69,31942633,0
02/24/2016,22:00,93.98,96.38,93.32,96.10,36255745,0
02/25/2016,22:00,96.05,96.76,95.25,96.76,27582659,0
02/26/2016,22:00,97.20,98.02,96.58,96.91,28991131,0
02/29/2016,22:00,96.86,98.23,96.65,96.69,35216277,0
03/01/2016,22:00,97.65,100.77,97.42,100.53,50407147,0
03/02/2016,22:00,100.51,100.89,99.64,100.75,33169560,0
03/03/2016,22:00,100.58,101.71,100.45,101.50,36955742,0
03/04/2016,22:00,102.37,103.75,101.37,103.01,46055100,0
03/07/2016,22:00,102.39,102.83,100.96,101.87,35915810,0
03/08/2016,22:00,100.78,101.76,100.40,101.03,31561889,0
03/09/2016,22:00,101.31,101.58,100.27,101.12,27201683,0
03/10/2016,22:00,101.41,102.24,100.15,101.17,33513577,0
03/11/2016,22:00,102.24,102.28,101.50,102.26,27408237,0
03/14/2016,22:00,101.91,102.91,101.78,102.52,25076062,0
03/15/2016,22:00,103.96,105.18,103.85,104.58,40067734,0
03/16/2016,22:00,104.61,106.31,104.59,105.97,38303493,0
03/17/2016,22:00,105.52,106.47,104.96,105.80,34420705,0
03/18/2016,22:00,106.34,106.50,105.19,105.92,44205171,0
03/21/2016,22:00,105.93,107.65,105.14,105.91,35502678,0
